ticker,cik,name,sic,exchange,hits,sector,industry,reliable
A,1090872,Agilent Technologies Inc,3825,NYSE,0,Healthcare,Medical Laboratories & Research,TRUE
AA,4281,Alcoa Inc,3350,NYSE,4,Basic Materials,Aluminum,TRUE
AAACU,1332552,Asia Automotive Acquisition Corp,6770,,0,#N/A,#N/A,FALSE
AABB,1287145,Asia Broadband Inc,8200,OTC,0,#N/A,#N/A,FALSE
AABC,1024015,Access Anytime Bancorp Inc,6035,,0,#N/A,#N/A,FALSE
AAC,1099290,Sinocoking Coal & Coke Chemical Industries Inc,3312,NASDAQ,0,Healthcare,Specialized Health Services,TRUE
AACC,1264707,Asset Acceptance Capital Corp,6153,,0,Financial,#N/A,FALSE
AACE,849116,Ace Cash Express Inc,6099,,0,#N/A,#N/A,FALSE
AACS,949982,AMERICAN COMMERCE SOLUTIONS Inc,3559,OTC Markets,0,Industrial Goods,Diversified Machinery,TRUE
AAGC,1409430,All American Gold Corp,1040,OTC,0,Basic Materials,Gold,TRUE
AAI,948846,Airtran Holdings Inc,4512,,0,#N/A,#N/A,FALSE
AAIIQ,1013243,Aaipharma Inc,8734,OTC,0,#N/A,#N/A,FALSE
AAIR,1303849,Avantair Inc,4522,OTC,0,Services,Air Services/Other,TRUE
AAL,6201,American Airlines Group Inc,4512,NASDAQ,9,Services,Major Airlines,TRUE
AAMC,852015,American Asset Management Corp,6162,OTC,0,Financial,Asset Management,TRUE
AAMC,1555074,Altisource Asset Management Corp,6500,OTC,0,Financial,Asset Management,TRUE
AAME,8177,Atlantic American Corp,6311,NASDAQ,1,Financial,Life Insurance,TRUE
AAML,1281629,Adera Mines LTD,1040,,0,Basic Materials,Gold,FALSE
AAMU,1123648,American Ammunition Inc,3990,,0,#N/A,#N/A,FALSE
AAMXX,351895,ACTIVE ASSETS MONEY TRUST,,NASDAQ,0,#N/A,#N/A,FALSE
AAN,706688,Aarons Inc,7359,NYSE,0,Services,Rental & Leasing Services,TRUE
AANB,356809,Abigail Adams National Bancorp Inc,6021,,0,#N/A,#N/A,FALSE
AANI,933955,Amedia Networks Inc,4813,,0,#N/A,#N/A,FALSE
AAOI,1158114,Applied Optoelectronics Inc,3674,NASDAQ,2,Technology,Semiconductor - Integrated Circuits,TRUE
AAON,824142,Aaon Inc,3585,NASDAQ,7,Industrial Goods,General Building Materials,TRUE
AAOR,1305748,Healthcare Providers Direct Inc,5047,,0,#N/A,#N/A,FALSE
AAP,1158449,Advance Auto Parts Inc,5531,NYSE,0,Services,Auto Parts Stores,TRUE
AAPH,1040482,American Petro-hunter Inc,1389,OTC,0,Basic Materials,Independent Oil & Gas,TRUE
AAPL,320193,Apple Inc,3571,NASDAQ,280,Consumer Goods,Electronic Equipment,TRUE
AAPT,1362502,All American Pet Company Inc,2040,OTC,0,Consumer Goods,Processed & Packaged Goods,TRUE
AARI,1424864,Patriot Minefinders Inc,1000,,0,Basic Materials,Industrial Metals & Minerals,FALSE
AARS,1411058,Asia Atlantic Resources,1000,,0,Basic Materials,Industrial Metals & Minerals,FALSE
AASP,930245,All American Sportpark Inc,5900,OTC,0,Services,Sporting Activities,TRUE
AASR,703701,Ushealth Group Inc,6321,,0,Financial,Accident & Health Insurance,FALSE
AAT,1500217,American Assets Trust Inc,6798,NYSE,0,Financial,REIT - Retail,TRUE
AATI,1104042,Advanced Analogic Technologies Inc,3674,,0,#N/A,#N/A,FALSE
AAUI,1419260,Andina Group Inc,7310,OTC,0,#N/A,#N/A,FALSE
AAVG,1077319,Avstar Aviation Group Inc,4581,OTC,0,#N/A,#N/A,FALSE
AAVL,1501756,Avalanche Biotechnologies, Inc.,2836,NASDAQ,Healthcare,Biotechnology,TRUE
AAXT,1358940,Aamaxan Transport Group Inc,9995,OTC,0,#N/A,#N/A,FALSE
AB,801558,Cannon Express Inc,4213,NYSE,0,Financial,Asset Management,TRUE
AB,825313,Alliancebernstein Holding LP,6282,NYSE,0,Financial,Asset Management,TRUE
ABAT,745651,Advanced Battery Technologies Inc,3690,OTC,0,Industrial Goods,Industrial Electrical Equipment,TRUE
ABAX,881890,Abaxis Inc,3829,NASDAQ,6,Healthcare,Medical Laboratories & Research,TRUE
ABBB,1428802,Auburn Bancorp Inc,6035,OTCBB,0,Financial,Savings & Loans,TRUE
ABBC,1292898,Abington Community Bancorp Inc,6036,,0,Financial,Savings & Loans,FALSE
ABBC,1397533,Abington Bancorp Inc,6036,,0,Financial,Savings & Loans,FALSE
ABBK,812146,Abington Bancorp Inc,6036,,0,Financial,Savings & Loans,FALSE
ABBV,1551152,Abbvie Inc,2834,NYSE,1,Healthcare,Drug Manufacturers - Major,TRUE
ABC,1140859,Amerisourcebergen Corp,5122,NYSE,0,Services,Drugs Wholesale,TRUE
ABCB,351569,Ameris Bancorp,6022,NASDAQ,1,Financial,Regional - Mid-Atlantic Banks,TRUE
ABCC,1009624,Wherevertv Broadcasting Corp,7389,,0,#N/A,#N/A,FALSE
ABCD,1466815,Cambium Learning Group Inc,2741,NASDAQ,1,Services,Education & Training Services,TRUE
ABCO,1157377,Advisory Board Co,8741,NASDAQ,1,Services,Business Services,TRUE
ABCP,20639,Ambase Corp,6512,OTC,0,Financial,Property Management,TRUE
ABCR,1490700,Varca Ventures Inc,1000,OTC,0,Basic Materials,Industrial Metals & Minerals,FALSE
ABCR,1528234,Abc Records Management & Data Storage Inc,4220,OTC,0,Technology,Business Software & Services,FALSE
ABCW,885322,Anchor Bancorp Wisconsin Inc,6036,OTC,1,Financial,Savings & Loans,TRUE
ABDV,812805,Atlantis Technology Group,6153,,0,Financial,#N/A,FALSE
ABER,841071,Dominion Diamond Corp,1000,NYSE,0,Basic Materials,Industrial Metals & Minerals,FALSE
ABEW,1297533,Airbee Wireless Inc,7372,,0,#N/A,#N/A,FALSE
ABF,3000,Airborne Inc,4513,,0,Services,#N/A,FALSE
ABFI,772349,American Business Financial Services Inc,6162,,0,#N/A,#N/A,FALSE
ABFS,894405,Arkansas Best Corp,4213,NASDAQ,0,#N/A,#N/A,FALSE
ABG,1144980,Asbury Automotive Group Inc,5500,NYSE,0,Services,Auto Dealerships,TRUE
ABGTF,1036140,Assistglobal Technologies Corp,7372,,0,#N/A,#N/A,FALSE
ABGX,1052837,Abgenix Inc,2836,,0,#N/A,#N/A,FALSE
